,true superclass,mex-220-c,mex-990-c,mex-910-c,mex-890-c,mex-880-c,mex-110-c,mex-270-c,mex-550-c,mex-810-c,mex-120-c,mex-420-c,mex-250-c,mex-440-c,mex-750-c,mex-350-c,mex-470-c,mex-840-c,mex-770-c,mex-190-c,mex-450-c,mex-720-c,mex-230-c,mex-140-c,mex-820-c,mex-980-c,mex-330-no-c,mex-110-no-c,mex-120-no-c,mex-650-no-c,mex-880-no-c,mex-550-no-c,mex-440-no-c,mex-190-no-c,mex-180-no-c,mex-320-no-c,mex-380-no-c,mex-560-no-c,mex-920-no-c,mex-220-no-c,mex-660-no-c,mex-10-no-c,mex-540-no-c,mex-820-no-c,mex-830-no-c,mex-990-no-c,mex-210-no-c,mex-450-no-c,mex-310-no-c,mex-750-no-c,mex-980-no-c,mex-630-no-c,mex-910-no-c,mex-770-no-c,mex-930-no-c,mex-350-no-c,mex-360-no-c,mex-860-no-c,mex-20-no-c,mex-740-no-c,mex-390-no-c,mex-230-no-c,mex-260-no-c,mex-130-no-c,mex-470-no-c,mex-280-no-c,mex-730-no-c,pps-symbol-0-c,pps-symbol-1-c,pps-symbol-2-c,pps-symbol-3-c,pps-symbol-4-c,pps-symbol-5-c,pps-symbol-6-c,pps-symbol-7-c,pps-symbol-8-c,pps-symbol-9-c,pps-symbol-0-no-c,pps-symbol-1-no-c,pps-symbol-2-no-c,pps-symbol-3-no-c,pps-symbol-4-no-c,pps-symbol-5-no-c,pps-symbol-6-no-c,pps-symbol-7-no-c,pps-symbol-8-no-c,pps-symbol-9-no-c
tv,electronic,6,2,2,1,0,8,0,2,1,3,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,5,13,5,0,0,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,15,0,0,6,0,2,2,12,32,31,10,10,4,4,1,1,1,2
book,indoor,21,4,3,3,2,17,4,12,1,11,1,0,0,6,0,0,1,2,1,0,0,0,0,0,0,8,8,4,2,0,15,19,2,4,1,0,0,5,6,1,1,2,0,1,2,0,1,0,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,89,50,58,0,2,30,0,14,9,15,89,27,22,24,41,36,7,0,6,14
teddy bear,indoor,4,1,3,2,3,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,6,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,9,0,2,3,0,0,11,7,19,16,6,6,2,5,1,0,1,0
person,person,160,158,96,39,26,136,12,121,22,90,14,0,10,22,9,1,8,12,15,1,0,0,0,1,0,88,223,103,21,4,63,149,23,31,18,5,4,18,46,45,15,5,4,0,11,4,7,0,5,9,11,7,1,11,3,10,0,0,1,1,0,2,0,1,1,3,953,495,437,9,44,274,0,59,122,466,953,629,242,238,312,171,138,12,58,91
boat,vehicle,11,1,4,0,1,7,3,9,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,3,5,5,0,2,10,1,0,1,0,1,0,6,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,22,29,0,0,20,0,7,2,6,43,12,19,7,20,11,13,1,0,3
mouse,electronic,7,0,0,0,0,4,0,2,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,1,2,1,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,16,0,0,5,0,5,0,0,18,4,8,6,8,7,1,2,0,0
car,vehicle,27,5,6,0,0,38,2,56,2,28,1,0,1,11,1,0,2,1,3,0,0,0,0,0,0,22,9,21,3,0,18,64,1,1,1,0,1,3,18,8,6,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,184,115,85,1,5,124,0,15,4,19,184,47,63,50,129,41,25,0,3,4
chair,furniture,25,8,15,3,2,32,0,13,4,14,2,1,0,5,0,1,0,6,3,0,0,0,0,0,0,13,18,18,4,2,14,18,4,2,4,3,1,2,8,4,5,0,3,0,0,0,1,1,1,1,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,134,100,67,0,3,32,0,18,11,37,134,68,43,38,37,35,16,1,14,11
traffic light,outdoor,20,1,0,0,0,2,2,18,0,7,0,0,0,6,0,0,0,2,0,1,0,0,0,0,0,8,1,0,2,0,7,26,0,0,0,0,1,2,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,59,11,49,0,1,43,0,12,0,2,59,2,15,17,54,19,9,0,0,2
baseball bat,sports,4,1,3,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,9,0,1,0,0,0,2,6,14,8,6,7,0,2,1,0,1,3
dining table,furniture,7,3,6,3,1,15,1,3,1,4,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,5,12,10,0,0,6,2,2,2,1,1,1,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,41,19,0,4,7,0,5,7,15,49,41,13,14,5,15,2,1,4,2
cup,kitchen,30,2,0,1,0,11,2,10,2,11,1,0,0,6,0,0,1,4,1,0,0,0,0,0,0,20,5,7,1,0,8,14,1,2,2,1,1,1,4,1,1,0,1,0,0,2,1,0,2,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,82,36,74,0,2,26,0,16,4,6,82,23,22,48,29,23,4,4,4,5
bottle,kitchen,27,5,7,0,0,18,0,8,1,12,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,11,11,9,3,0,9,13,3,1,2,0,2,1,7,6,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,56,67,0,1,18,0,8,1,17,84,37,27,25,26,24,18,1,2,7
backpack,accessory,8,1,2,1,1,8,0,3,0,6,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,7,3,2,1,0,3,3,1,3,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,23,0,5,6,0,2,3,6,35,13,7,17,6,8,10,1,5,3
broccoli,food,1,2,4,0,1,1,0,7,1,1,1,0,4,0,0,0,1,2,0,0,0,0,0,0,0,4,7,0,0,0,4,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,8,4,0,10,14,0,4,4,8,26,16,0,12,9,10,0,0,5,0
keyboard,electronic,6,0,0,1,0,4,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,3,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,12,17,0,2,0,0,0,1,2,17,8,7,5,1,8,2,0,1,0
carrot,food,3,0,1,1,2,4,0,8,0,5,0,0,0,2,2,1,2,1,0,0,0,0,0,1,0,6,1,3,0,1,4,8,0,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,14,12,2,3,20,0,5,8,2,33,12,4,14,17,10,0,0,8,0
remote,electronic,6,2,2,0,0,4,0,12,0,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,6,13,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,11,14,0,3,31,0,7,0,6,36,14,1,9,27,14,6,0,1,0
surfboard,sports,6,3,0,2,1,2,0,3,0,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,5,4,1,0,0,3,3,2,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,16,0,2,8,0,4,4,9,25,12,5,12,6,6,5,0,0,4
bowl,kitchen,11,2,4,0,0,13,0,2,0,15,2,0,0,3,0,1,0,2,0,0,0,0,0,0,0,9,9,8,1,1,4,5,0,4,4,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,55,45,39,0,3,7,0,8,0,8,55,31,14,28,11,11,2,0,9,4
sheep,animal,2,2,4,4,4,4,0,1,5,0,1,0,2,2,1,0,1,0,0,0,0,0,0,1,1,4,11,5,0,0,1,2,1,0,0,0,0,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,17,6,1,6,5,0,2,20,13,35,28,13,9,4,2,6,0,0,8
tie,accessory,5,0,0,1,1,3,0,4,0,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,1,1,0,0,5,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,11,14,0,1,9,0,1,4,2,21,4,7,10,10,1,8,0,1,1
frisbee,sports,4,2,0,0,0,3,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,11,0,1,4,0,2,0,4,15,3,3,13,4,1,3,0,1,1
truck,vehicle,5,5,8,2,1,15,0,5,0,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,10,10,0,0,2,4,2,0,0,0,0,0,2,3,6,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,46,17,0,1,10,0,0,4,22,50,38,14,16,8,6,8,0,1,3
elephant,animal,2,7,5,3,6,3,0,2,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,8,7,8,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,35,11,6,0,10,4,0,0,17,22,35,24,10,18,4,0,3,0,0,11
motorcycle,vehicle,8,0,1,0,0,13,0,6,0,5,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,7,4,3,1,0,3,4,1,1,0,2,1,0,4,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,34,22,0,2,12,0,2,1,3,38,14,11,18,10,12,5,1,3,1
oven,appliance,1,1,1,0,0,12,0,2,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,5,3,0,0,1,2,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,29,4,0,0,5,0,3,0,5,23,19,6,3,4,4,0,1,4,4
knife,kitchen,11,2,1,0,0,4,4,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,1,0,0,5,5,0,2,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,31,0,2,2,0,6,0,5,29,11,4,12,12,13,1,0,4,1
fork,kitchen,4,1,1,0,0,8,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,1,3,0,1,1,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,9,0,0,4,0,0,2,3,19,8,8,5,6,4,4,0,2,1
banana,food,7,0,0,1,1,5,0,4,2,3,1,0,3,3,0,0,0,1,0,1,0,1,0,1,0,4,4,2,0,0,11,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34,15,20,1,8,12,0,5,6,1,34,15,3,12,9,24,1,0,0,3
spoon,kitchen,6,0,0,0,0,4,0,5,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,1,7,0,1,2,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,24,14,18,0,1,11,0,3,1,0,24,5,6,10,14,4,3,1,3,1
sandwich,food,5,2,1,1,0,5,1,0,3,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,5,2,3,0,0,2,1,0,3,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,17,14,0,4,0,0,4,5,6,25,12,7,18,2,5,0,0,5,0
couch,furniture,3,4,4,5,1,9,0,3,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,4,1,1,2,4,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,34,25,8,0,0,7,0,3,7,18,34,32,6,2,8,6,1,0,6,7
handbag,accessory,10,7,2,2,0,6,0,8,3,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,8,3,1,0,4,9,3,1,0,2,0,1,1,2,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,21,23,0,0,19,0,3,5,19,45,25,7,12,19,10,6,0,4,5
zebra,animal,2,1,9,5,0,4,1,2,4,3,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,7,19,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,36,24,10,0,3,5,0,5,9,16,36,40,2,17,5,3,0,0,0,5
pizza,food,4,3,4,1,0,1,1,2,3,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,7,4,0,0,1,3,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,27,13,15,0,3,5,0,3,4,11,27,20,7,11,6,3,2,1,2,2
horse,animal,4,7,3,2,1,2,0,4,2,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,12,2,0,0,2,3,2,0,1,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,33,14,13,0,3,9,0,1,7,19,33,29,8,8,6,5,7,0,0,3
bicycle,vehicle,8,1,1,0,0,6,2,2,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,1,3,2,0,5,4,0,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,19,0,2,5,0,5,0,4,25,8,6,6,8,13,6,0,2,0
vase,indoor,11,1,1,0,0,2,0,3,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,7,2,0,1,0,2,4,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,7,24,0,0,8,0,4,2,3,24,6,2,15,8,6,6,0,2,3
bus,vehicle,5,9,1,0,1,8,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,11,3,0,0,1,1,0,0,1,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,21,12,0,0,2,0,2,2,21,30,26,13,11,2,2,3,0,0,2
