,true superclass,mex-0-c,mex-10-c,mex-10-no-c,mex-0-no-c,pps-symbol-0-c,pps-symbol-1-c,pps-symbol-0-no-c,pps-symbol-1-no-c
tv,electronic,28,4,12,20,32,4,32,12
book,indoor,53,36,57,32,89,36,89,57
teddy bear,indoor,16,3,7,12,19,3,19,7
person,person,708,245,437,516,953,245,953,437
boat,vehicle,26,17,27,16,43,17,43,27
mouse,electronic,7,11,14,4,18,11,18,14
car,vehicle,117,67,120,64,184,67,184,120
chair,furniture,105,29,66,68,134,29,134,66
traffic light,outdoor,26,33,48,11,59,33,59,48
baseball bat,sports,14,0,3,11,14,0,14,3
dining table,furniture,34,15,20,29,49,15,49,20
cup,kitchen,41,41,56,26,82,41,82,56
bottle,kitchen,50,34,48,36,84,34,84,48
backpack,accessory,31,4,19,16,35,4,35,19
broccoli,food,18,8,11,15,26,8,26,11
keyboard,electronic,11,6,8,9,17,6,17,8
carrot,food,11,22,21,12,33,22,33,21
remote,electronic,12,24,28,8,36,24,36,28
surfboard,sports,16,9,14,11,25,9,25,14
bowl,kitchen,29,26,23,32,55,26,55,23
sheep,animal,32,3,12,23,35,3,35,12
tie,accessory,13,8,15,6,21,8,21,15
frisbee,sports,8,7,10,5,15,7,15,10
truck,vehicle,45,5,17,33,50,5,50,17
elephant,animal,33,2,11,24,35,2,35,11
motorcycle,vehicle,32,6,22,16,38,6,38,22
oven,appliance,18,5,7,16,23,5,23,7
knife,kitchen,11,18,20,9,29,18,29,20
fork,kitchen,11,8,7,12,19,8,19,7
banana,food,13,21,21,13,34,21,34,21
spoon,kitchen,7,17,16,8,24,17,24,16
sandwich,food,17,8,10,15,25,8,25,10
couch,furniture,29,5,8,26,34,5,34,8
handbag,accessory,29,16,22,23,45,16,45,22
zebra,animal,31,5,8,28,36,5,36,8
pizza,food,19,8,9,18,27,8,27,9
horse,animal,29,4,13,20,33,4,33,13
bicycle,vehicle,19,6,15,10,25,6,25,15
vase,indoor,18,6,17,7,24,6,24,17
bus,vehicle,28,2,8,22,30,2,30,8
skateboard,sports,20,3,11,12,23,3,23,11
bird,animal,15,17,19,13,32,17,32,19
cow,animal,29,8,18,19,37,8,37,18
dog,animal,29,3,15,17,32,3,32,15
sink,appliance,17,12,18,11,29,12,29,18
bench,outdoor,32,9,23,18,41,9,41,23
kite,sports,20,8,15,13,28,8,28,15
wine glass,kitchen,12,7,12,7,19,7,19,12
hot dog,food,7,5,5,7,12,5,12,5
tennis racket,sports,20,8,16,12,28,8,28,16
suitcase,accessory,18,6,10,14,24,6,24,10
orange,food,6,18,17,7,24,18,24,17
apple,food,2,12,11,3,14,12,14,11
skis,sports,13,13,14,12,26,13,26,14
parking meter,outdoor,3,3,4,2,6,3,6,4
laptop,electronic,16,3,9,10,19,3,19,9
sports ball,sports,18,23,30,11,41,23,41,30
donut,food,9,20,19,10,29,20,29,19
cell phone,electronic,19,21,30,10,40,21,40,30
potted plant,furniture,34,9,17,26,43,9,43,17
bed,furniture,29,3,8,24,32,3,32,8
baseball glove,sports,12,8,14,6,20,8,20,14
cake,food,15,9,12,12,24,9,24,12
umbrella,accessory,26,5,13,18,31,5,31,13
refrigerator,appliance,11,2,3,10,13,2,13,3
microwave,appliance,5,1,1,5,6,1,6,1
toaster,appliance,1,0,0,1,1,0,1,0
hair drier,indoor,1,3,3,1,4,3,4,3
toothbrush,indoor,4,1,2,3,5,1,5,2
snowboard,sports,4,1,3,2,5,1,5,3
SUM COL,SUM COL,2242,1035,1679,1598,3277,1035,3277,1679
MEAN COL,MEAN COL,63.15492957746479,29.154929577464788,47.29577464788732,45.014084507042256,92.30985915492958,29.154929577464788,92.30985915492958,47.29577464788732
STD COL,STD COL,273.32298635509136,123.84880012580128,201.94312365964333,195.1113436511188,396.69449669186736,123.84880012580128,396.69449669186736,201.94312365964333
