,mex-0-c,mex-10-c,mex-10-no-c,mex-0-no-c,pps-symbol-0-c,pps-symbol-1-c,pps-symbol-0-no-c,pps-symbol-1-no-c
electronic,93,69,101,61,162,69,162,101
indoor,92,49,86,55,141,49,141,86
person,708,245,437,516,953,245,953,437
vehicle,267,103,209,161,370,103,370,209
furniture,231,61,119,173,292,61,292,119
outdoor,61,45,75,31,106,45,106,75
sports,145,80,130,95,225,80,225,130
kitchen,161,151,182,130,312,151,312,182
accessory,117,39,79,77,156,39,156,79
food,117,131,136,112,248,131,248,136
animal,198,42,96,144,240,42,240,96
appliance,52,20,29,43,72,20,72,29
